assembly_key	original_fasta	total_bp	gc_percent	n_contigs	contig_n50	longest_contig	n_bases
GCA_000730345.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_000730345.1.fna	5655941	50.387	3	5523849	5523849	0
GCA_000803705.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_000803705.1.fna	5583430	50.4663	2	5488700	5488700	0
GCA_000986635.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_000986635.1.fna	5580340	50.5103	11	4829617	4829617	0
GCA_001558995.2	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_001558995.2.fna	5574593	50.4454	2	5478683	5478683	0
GCA_001612475.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_001612475.1.fna	5643099	50.5461	2	5561698	5561698	0
GCA_001651925.2	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_001651925.2.fna	5740825	50.5072	2	5645226	5645226	0
GCA_001695515.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_001695515.1.fna	5866200	50.5462	2	5770602	5770602	0
GCA_001753445.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_001753445.1.fna	5509007	50.4706	2	5416383	5416383	0
GCA_001753465.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_001753465.1.fna	5500773	50.4744	2	5408208	5408208	0
GCA_001753505.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_001753505.1.fna	5509229	50.4708	2	5416633	5416633	0
GCA_001753525.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_001753525.1.fna	5503176	50.4691	2	5410617	5410617	0
GCA_001753545.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_001753545.1.fna	5531320	50.4698	2	5438591	5438591	0
GCA_001753565.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_001753565.1.fna	5497141	50.4715	2	5404558	5404558	0
GCA_001884945.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_001884945.1.fna	5406281	50.3032	296	132808	314136	0
GCA_001884965.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_001884965.1.fna	5406485	50.3134	258	130768	392355	0
GCA_001884975.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_001884975.1.fna	5416812	50.3302	286	147583	385649	0
GCA_001939185.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_001939185.1.fna	5648519	50.4552	6	5194940	5194940	0
GCA_002194555.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_002194555.1.fna	5508887	50.3561	270	150189	422199	0
GCA_002194595.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_002194595.1.fna	5379156	50.3142	238	171054	644517	0
GCA_002194605.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_002194605.1.fna	5379289	50.32	231	171054	644517	0
GCA_002194705.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_002194705.1.fna	5407267	50.3154	297	142782	611828	0
GCA_002194915.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_002194915.1.fna	5449411	50.3662	298	216688	616968	0
GCA_002195075.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_002195075.1.fna	5480241	50.3227	291	142687	611828	0
GCA_002195115.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_002195115.1.fna	5475552	50.3239	286	147587	613636	0
GCA_002195195.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_002195195.1.fna	5477375	50.323	286	147587	613631	0
GCA_002195255.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_002195255.1.fna	5413063	50.3132	287	147587	611828	0
GCA_002195395.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_002195395.1.fna	5413956	50.318	296	147587	441444	0
GCA_002195475.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_002195475.1.fna	5533021	50.266	272	171414	327787	0
GCA_002195485.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_002195485.1.fna	5435540	50.3165	275	147587	613680	0
GCA_002195515.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_002195515.1.fna	5510153	50.3456	282	150326	421772	0
GCA_002195525.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_002195525.1.fna	5424540	50.3104	267	147587	614354	0
GCA_002195565.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_002195565.1.fna	5509518	50.3602	277	150212	375707	0
GCA_002195805.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_002195805.1.fna	5568406	50.3107	293	147587	613859	0
GCA_002195825.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_002195825.1.fna	5411621	50.3249	271	147587	613880	0
GCA_003719795.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_003719795.1.fna	5656947	50.5495	12	2955142	2955142	0
GCA_004100305.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_004100305.1.fna	5662955	50.4481	13	3499850	3499850	0
GCA_004118915.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_004118915.1.fna	5549704	50.5334	2	5452210	5452210	0
GCA_004137365.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_004137365.1.fna	5673601	50.533	12	1276028	2733461	0
GCA_009431955.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_009431955.1.fna	5635513	50.5272	2	5539892	5539892	0
GCA_009432215.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_009432215.1.fna	5591793	50.5262	2	5496151	5496151	0
GCA_009432415.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_009432415.1.fna	5494884	50.4984	2	5401709	5401709	0
GCA_009931235.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_009931235.1.fna	5661009	50.464	5	5554243	5554243	0
GCA_011821085.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011821085.1.fna	5364025	50.301	182	144793	374777	0
GCA_011833895.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011833895.1.fna	5392638	50.258	155	184003	462379	0
GCA_011833915.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011833915.1.fna	5421328	50.274	147	186489	674218	0
GCA_011834055.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011834055.1.fna	5411431	50.3091	151	149113	613716	0
GCA_011841315.2	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011841315.2.fna	5373271	50.2537	195	185728	611484	0
GCA_011841725.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011841725.1.fna	5340095	50.2607	184	183791	611484	0
GCA_011841875.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011841875.1.fna	5348106	50.2737	142	188305	614031	0
GCA_011842005.2	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011842005.2.fna	5359988	50.2466	182	187822	611822	0
GCA_011842045.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011842045.1.fna	5329524	50.2496	187	122792	282003	0
GCA_011842205.2	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011842205.2.fna	5341783	50.2418	186	187934	611484	0
GCA_011842245.2	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011842245.2.fna	5465907	50.2798	248	148117	613655	0
GCA_011842325.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011842325.1.fna	5339419	50.2628	164	187935	611484	0
GCA_011842345.2	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011842345.2.fna	5335514	50.2375	193	148115	543688	0
GCA_011845925.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011845925.1.fna	5345607	50.2637	141	188305	554914	0
GCA_011846225.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011846225.1.fna	5329138	50.2582	145	183791	520370	0
GCA_011856105.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011856105.1.fna	5363339	50.2622	188	135677	365265	0
GCA_011856405.2	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011856405.2.fna	5441898	50.2707	153	188193	613884	0
GCA_011856565.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011856565.1.fna	5372782	50.2898	126	188306	673955	0
GCA_011856685.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011856685.1.fna	5330874	50.276	134	188237	613064	0
GCA_011856765.2	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011856765.2.fna	5378173	50.2593	150	188962	674199	0
GCA_011856785.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011856785.1.fna	5337327	50.2807	128	193468	674192	0
GCA_011856885.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011856885.1.fna	5374660	50.2778	128	187934	615104	0
GCA_011856985.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011856985.1.fna	5343847	50.2679	133	188894	613848	0
GCA_011857005.2	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011857005.2.fna	5377553	50.2543	157	188306	674205	0
GCA_011857065.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011857065.1.fna	5343218	50.275	139	188894	674182	0
GCA_011857105.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011857105.1.fna	5333944	50.2694	136	188305	613896	0
GCA_011857145.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011857145.1.fna	5352778	50.2803	144	188305	612192	0
GCA_011857225.2	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011857225.2.fna	5349850	50.2469	148	159556	613779	0
GCA_011857325.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011857325.1.fna	5354620	50.2771	133	188305	614131	0
GCA_011857485.2	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011857485.2.fna	5411021	50.2651	163	187934	612972	0
GCA_011857525.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011857525.1.fna	5350312	50.2686	146	188052	613714	0
GCA_011858245.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011858245.1.fna	5356492	50.2722	130	188892	674182	0
GCA_011858365.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011858365.1.fna	5370596	50.2771	131	188305	674192	0
GCA_011859085.2	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011859085.2.fna	5341581	50.2419	158	183590	517372	0
GCA_011859925.2	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011859925.2.fna	5335500	50.221	219	104249	451025	0
GCA_011860045.2	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011860045.2.fna	5355516	50.2423	174	159589	611844	0
GCA_011860305.2	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011860305.2.fna	5363747	50.2367	188	147330	553801	0
GCA_011860925.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011860925.1.fna	5400027	50.2418	198	127101	401738	0
GCA_011862565.2	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011862565.2.fna	5373154	50.3179	191	111371	314288	0
GCA_011867165.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011867165.1.fna	5428652	50.3138	194	139558	451757	0
GCA_011868355.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011868355.1.fna	5406637	50.31	175	110112	361841	0
GCA_011868385.2	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011868385.2.fna	5358244	50.364	212	100438	269665	0
GCA_011868525.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011868525.1.fna	5415325	50.3739	221	100405	229781	0
GCA_011868655.2	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011868655.2.fna	5380357	50.3206	188	134199	314288	0
GCA_011868665.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011868665.1.fna	5386728	50.2987	178	110340	325866	0
GCA_011868825.1	/home/samuelajulo/epi/marker_screen/results/03_O157H7_cattle_QC/fastas/raw/GCA_011868825.1.fna	5424946	50.3207	232	104516	270886	0
